date,exercise_name,order,weight,rep
9/29/2020 7:10,Bent Over Row (Barbell),1,44.09245244,5
9/29/2020 7:10,Bent Over Row (Barbell),2,66.13867866,5
9/29/2020 7:10,Bent Over Row (Barbell),3,110.2311311,5
9/29/2020 7:10,Bent Over Row (Barbell),4,154.3235835,3
9/29/2020 7:10,Bent Over Row (Barbell),5,187.3929229,8
9/29/2020 7:10,Bent Over Row (Barbell),6,187.3929229,8
9/29/2020 7:10,Bent Over Row (Barbell),7,187.3929229,8
9/29/2020 7:10,Bent Over Row (Barbell),8,187.3929229,7
9/29/2020 7:10,Chin Up,1,0,10
9/29/2020 7:10,Chin Up,2,0,10
9/29/2020 7:10,Chin Up,3,0,9
9/29/2020 7:10,Seated Row (Cable),1,132.2773573,12
9/29/2020 7:10,Seated Row (Cable),2,132.2773573,12
9/29/2020 7:10,Seated Row (Cable),3,132.2773573,12
9/29/2020 7:10,Lat Pulldown (Machine),1,107.4753528,12
9/29/2020 7:10,Lat Pulldown (Machine),2,107.4753528,12
9/29/2020 7:10,Lat Pulldown (Machine),3,107.4753528,13
9/29/2020 7:10,Bicep Curl (Barbell),1,55.11556555,12
9/29/2020 7:10,Bicep Curl (Barbell),2,55.11556555,10
9/30/2020 7:32,Bench Press (Barbell),1,214.9507056,5
9/30/2020 7:32,Bench Press (Barbell),2,214.9507056,4
9/30/2020 7:32,Bench Press (Barbell),3,214.9507056,4
9/30/2020 7:32,Bench Press (Barbell),4,214.9507056,4
9/30/2020 7:32,Chest Fly,1,30.31356105,12
9/30/2020 7:32,Chest Fly,2,30.31356105,12
9/30/2020 7:32,Chest Fly,3,30.31356105,12
9/30/2020 7:32,Seated Overhead Press (Dumbbell),1,49.60400899,12
9/30/2020 7:32,Seated Overhead Press (Dumbbell),2,49.60400899,12
9/30/2020 7:32,Seated Overhead Press (Dumbbell),3,49.60400899,11
9/30/2020 7:32,Lateral Raise (Dumbbell),1,27.55778277,15
9/30/2020 7:32,Lateral Raise (Dumbbell),2,27.55778277,15
9/30/2020 7:32,Lateral Raise (Dumbbell),3,27.55778277,15
9/30/2020 7:32,Lateral Raise (Dumbbell),4,16.53466966,10
9/30/2020 7:32,Chest Press (Machine),1,170.8582532,10
9/30/2020 7:32,Chest Press (Machine),2,170.8582532,10
9/30/2020 7:32,Triceps Extension (Dumbbell),1,66.13867866,15
9/30/2020 7:32,Triceps Extension (Dumbbell),2,66.13867866,15
10/1/2020 5:37,Sumo Deadlift (Barbell),1,44.09245244,5
10/1/2020 5:37,Sumo Deadlift (Barbell),2,110.2311311,5
10/1/2020 5:37,Sumo Deadlift (Barbell),3,176.3698097,5
10/1/2020 5:37,Sumo Deadlift (Barbell),4,242.5084884,3
10/1/2020 5:37,Sumo Deadlift (Barbell),5,286.6009408,3
